Ticker,Sector,LatestQuarter,Beta,TrailingPE,ForwardPE,ReturnOnEquityTTM,PriceToBookRatio,PEGRatio,ProfitMargin,EPS,DividendYield,EVToEBITDA
MDLZ,MANUFACTURING,2023-09-30,0.667,20.69,19.3,0.167,3.026,2.841,0.13,3.34,0.0246,17.83
ETN,TECHNOLOGY,2023-09-30,1.07,29.66,19.42,0.174,3.994,2.11,0.132,7.48,0.0155,19.39
ZTS,LIFE SCIENCES,2023-09-30,0.823,34.48,30.12,0.468,15.17,3.526,0.272,4.91,0.0089,23.1
C,FINANCE,2023-09-30,1.553,6.68,6.67,0.0671,0.496,0.717,0.187,6.3,0.0494,-
CME,FINANCE,2023-09-30,0.459,25.91,21.83,0.108,2.277,4.693,0.571,8.38,0.0203,16.41
EOG,ENERGY & TRANSPORTATION,2023-09-30,1.513,9.1,7.87,0.305,2.997,2.465,0.332,13.48,0.03,5.38
PANW,TECHNOLOGY,2023-07-31,1.125,199.61,49.26,0.449,95.37,1.586,0.0638,1.27,0,218.15
AMT,REAL ESTATE & CONSTRUCTION,2023-09-30,0.633,123.35,48.78,0.0541,16.3,3.572,0.0646,1.49,0.0353,20.26
MO,MANUFACTURING,2023-09-30,0.692,8.17,9.51,0,27.3,6.31,0.426,4.9,0.098,12.99
SCHW,FINANCE,2023-09-30,0.94,18.14,15.65,0.16,5.4,0.814,0.301,3,0.0184,-
MU,MANUFACTURING,2023-08-31,1.304,-,454.55,-0.124,1.193,1.115,-0.375,-5.34,0.0061,3.421
TMUS,TECHNOLOGY,2023-09-30,0.53,22.92,19.16,0.115,2.525,0.469,0.0993,6.44,0.0044,14.69
SNPS,TECHNOLOGY,2023-07-31,1.078,78.14,32.79,0.176,9.0,1.846,0.187,6.64,0.0163,34.74
BX,FINANCE,2023-09-30,1.453,41.27,14.51,0.16,7.8,1.267,0.218,2.39,0.0337,-
BDX,LIFE SCIENCES,2023-09-30,0.569,46.1,20.58,0.0647,2.848,2.314,0.0874,5.09,0.0162,19.74
SO,ENERGY & TRANSPORTATION,2023-09-30,0.552,24.85,18.98,0.0821,2.478,2.917,0.116,2.74,0.0408,13.3
BSX,LIFE SCIENCES,2023-09-30,0.771,62.88,24.27,0.0668,3.831,2.531,0.0893,0.82,0.0194,30.6
NOC,MANUFACTURING,2023-09-30,0.424,15.24,22.12,0.313,5.87,10.54,0.121,30.39,0.0161,11.1
ITW,TECHNOLOGY,2023-09-30,1.155,22.57,24.33,1.046,22.86,2.304,0.196,10.3,0.0241,18.36
EQIX,REAL ESTATE & CONSTRUCTION,2023-09-30,0.618,82.68,72.46,0.0755,5.84,3.328,0.116,9.28,0.0222,27.26
DUK,ENERGY & TRANSPORTATION,2023-09-30,0.455,18.66,18.18,0.0736,1.644,3.623,0.0417,4.73,0.046,12.69
FI,TECHNOLOGY,2023-09-30,0.893,25.42,357.14,0.0988,1.14,0.24,0.159,4.78,0.004,55.58
CDNS,TECHNOLOGY,2023-09-30,1.041,73.06,35.21,0.329,16.76,2.072,0.244,3.58,0.0043,38.57
KLAC,LIFE SCIENCES,2023-09-30,1.344,23.86,14.6,1.219,36.29,1.595,0.305,22.39,0.0109,13.42
AON,FINANCE,2023-09-30,0.927,25.38,21.37,0.576,89.18,1.772,0.207,13.16,0.0074,17.76
WM,ENERGY & TRANSPORTATION,2023-09-30,0.721,30.4,26.74,0.33,9.75,2.639,0.115,5.65,0.0163,15.61
APD,LIFE SCIENCES,2023-09-30,0.867,25.65,27.55,0.159,5.31,1.918,0.183,10.35,0.0265,17.72
HUM,FINANCE,2023-09-30,0.614,20.41,18.66,0.18,4.155,1.283,0.0295,24.16,0.0072,-
MPC,ENERGY & TRANSPORTATION,2023-09-30,1.56,5.47,7.84,0.387,1.977,0.186,0.0756,26.52,0.0227,3.17
MCK,TRADE & SERVICES,2023-09-30,0.555,18.56,14.24,0,5.04,0.617,0.012,25.29,0.0053,14.26
PYPL,TRADE & SERVICES,2023-09-30,1.376,16.35,15.15,0.188,4.086,1.473,0.129,3.35,0,18.15
ICE,FINANCE,2023-09-30,0.985,25.47,17.86,0.104,2.579,2.326,0.32,4.31,0.0153,15.25
CSX,ENERGY & TRANSPORTATION,2023-09-30,1.203,16.24,17.01,0.31,5.34,2.296,0.262,1.89,0.0143,11.3
GD,MANUFACTURING,2023-09-30,0.76,20.36,17.79,0.176,3.873,1.917,0.0797,11.96,0.0217,15.21
SHW,TRADE & SERVICES,2023-09-30,1.08,27.41,23.81,0.758,24.81,2.053,0.105,9.33,0.0095,23.07
CL,LIFE SCIENCES,2023-09-30,0.445,39.49,25.13,2.382,106.54,3.742,0.0829,1.91,0.0255,20.7
PXD,ENERGY & TRANSPORTATION,2023-09-30,1.406,11.14,7.95,0.224,2.331,1.033,0.262,20.97,0.0598,4.873
FDX,ENERGY & TRANSPORTATION,2023-08-31,1.353,15.01,11.59,0.162,1.784,1.22,0.0471,16.39,0.0196,8.07
XTSLA,,,,,,,,,,,,
ORLY,TRADE & SERVICES,2023-09-30,0.83,26.25,21.98,0.586,210.18,1.836,0.149,37.57,0.0328,17.43
EMR,MANUFACTURING,2023-09-30,1.375,23.25,23.92,0.0991,5.49,2.304,0.872,3.72,0.0243,12.3
ROP,LIFE SCIENCES,2023-09-30,1.018,44.85,27.7,0.0802,3.358,2.287,0.488,11.53,0.0058,22.81
TGT,TRADE & SERVICES,2023-07-31,1.04,14.64,15.24,0.299,6.37,3.194,0.0312,7.4,0.0412,11.71
PSX,ENERGY & TRANSPORTATION,2023-09-30,1.337,6.85,8.95,0.244,1.641,0.731,0.0511,16.55,0.037,3.774
FCX,ENERGY & TRANSPORTATION,2023-09-30,2.052,22.45,24.81,0.146,3.769,0.2,0.095,1.5,0.0178,5.96
MCO,TRADE & SERVICES,2023-09-30,1.284,41.82,30.96,0.524,24.18,6.23,0.264,8.24,0.0089,24.27
ABNB,TRADE & SERVICES,2023-09-30,1.261,14.37,30.67,0.745,10.74,None,0.569,8.22,0,28.41
PH,MANUFACTURING,2023-09-30,1.489,23.25,15.43,0.243,4.352,1.693,0.119,18.04,0.0141,20.74
AJG,FINANCE,2023-09-30,0.7,47.84,21.79,0.119,4.717,2.09,0.123,5.19,0.0089,21.31
USB,FINANCE,2023-09-30,1.042,10.21,8.57,0.109,1.627,0.84,0.224,3.35,0.0561,-
CMG,TRADE & SERVICES,2023-09-30,1.329,50.25,35.46,0.449,18.18,1.208,0.123,42.2,0.019,34.25
MMM,LIFE SCIENCES,2023-09-30,0.98,-,11.92,-0.782,4.95,2.314,-0.226,-13.31,0.0646,8.52
SNOW,TECHNOLOGY,2023-07-31,0.77,-,344.83,-0.161,8.87,1.913,-0.352,-2.66,0,-62.84
HCA,LIFE SCIENCES,2023-09-30,1.663,11.49,13.44,0.214,293.44,1.366,0.0905,20.26,0.0103,8.61
AFL,FINANCE,2023-09-30,0.893,11.16,12.8,0.187,1.812,0.93,0.227,7.3,0.0245,-
MAR,REAL ESTATE & CONSTRUCTION,2023-09-30,1.58,20.95,20.04,0.145,47.45,0.682,0.475,9.43,0.0105,17.38
APH,MANUFACTURING,2023-09-30,1.264,27.94,25.77,0.266,7.4,2.861,0.154,3.1,0.0102,17.82
MSI,MANUFACTURING,2023-09-30,0.916,31.45,23.53,0.253,-,1.948,0.173,9.89,0.0113,24.42
ANET,TECHNOLOGY,2023-09-30,1.124,34.36,23.81,0.349,9.13,1.098,0.34,6.02,0,26.85
PNC,FINANCE,2023-09-30,1.124,8.36,9.12,0.131,1.292,0.415,0.298,14.4,0.0507,-
F,MANUFACTURING,2023-09-30,1.69,6.44,7.35,0.141,1.287,0.383,0.0354,1.53,0.0609,7.04
TT,LIFE SCIENCES,2023-09-30,1.201,26.31,22.22,0.318,6.94,2.47,0.113,8.57,0.0133,17.18
AZO,TRADE & SERVICES,2023-08-31,0.648,20.41,18.83,0,-,1.373,0.145,132.41,0.0196,14.46
CHTR,TECHNOLOGY,2023-09-30,1.142,13.39,9.92,0.4,6.6,0.3,0.086,30.61,0,7.57
APO,FINANCE,2023-09-30,1.637,32.3,9.95,0.259,9.74,1.37,0.0652,2.63,0.0202,13.12
NSC,ENERGY & TRANSPORTATION,2023-09-30,1.293,21.54,17.83,0.163,4.594,2.192,0.17,9.14,0.0274,12.35
ADSK,TECHNOLOGY,2023-07-31,1.456,52.38,27.25,0.898,47.65,1.079,0.168,4.02,0.0196,43.62
MRVL,MANUFACTURING,2023-07-31,1.42,-,18.21,-0.0245,2.339,1.115,-0.0674,-0.44,0.0044,24.07
TDG,MANUFACTURING,2023-09-30,1.391,45.05,29.33,0,-,1.264,0.197,22.03,0.0028,20.75
OXY,ENERGY & TRANSPORTATION,2023-09-30,1.727,13.29,8.52,0.187,3.053,1.218,0.185,4.59,0.0118,4.041
HES,ENERGY & TRANSPORTATION,2023-09-30,1.538,29.75,13.18,0.208,5.27,0.359,0.143,4.76,0.0124,8.74
CTAS,MANUFACTURING,2023-08-31,1.284,40.17,36.9,0.378,14.44,3.074,0.154,13.28,0.0101,24.43
VLO,ENERGY & TRANSPORTATION,2023-09-30,1.564,4.184,6.18,0.431,2.107,0.213,0.0739,29.32,0.0333,3.502
AIG,FINANCE,2023-09-30,1.049,11.08,9.95,0.116,1.193,0.549,0.0828,5.76,0.0226,-
CARR,TECHNOLOGY,2023-09-30,1.285,36.52,16.89,0.16,5.08,1.663,0.0543,1.41,0.0144,8.62
SRE,ENERGY & TRANSPORTATION,2023-09-30,0.748,16.28,18.28,0.101,1.969,3.488,0.166,4.32,0.0338,15.89
LNG,ENERGY & TRANSPORTATION,2023-09-30,0.97,3.401,6.91,0.86,28.35,0.805,0.508,50.46,0.0101,-94.76
PCAR,MANUFACTURING,2023-09-30,0.916,11.27,13.28,0.284,2.772,1.406,0.12,7.83,0.0118,10.41
WMB,ENERGY & TRANSPORTATION,2023-09-30,1.171,15.3,18.83,0.207,3.641,1.545,0.263,2.28,0.0513,11.51
EW,LIFE SCIENCES,2023-09-30,1.023,27.44,30.12,0.221,7.54,3.065,0.246,2.34,0.0223,23.19
WDAY,TECHNOLOGY,2023-07-31,1.244,-,37.31,-0.0213,8.52,1.694,-0.0181,-0.48,0,250.31
PSA,REAL ESTATE & CONSTRUCTION,2023-09-30,0.497,22.42,26.6,0.21,9.29,2.744,0.474,10.92,0.049,11.3
WELL,REAL ESTATE & CONSTRUCTION,2023-09-30,1.072,162.23,26.11,0.0123,1.66,0.603,0.0399,0.53,0.0284,23.24
LULU,MANUFACTURING,2023-07-31,1.339,52.36,28.41,0.315,13.69,1.405,0.114,7.9,0,22.63
MCHP,MANUFACTURING,2023-09-30,1.598,17.01,13.12,0.385,6.86,1.638,0.281,4.56,0.0205,13.64
ECL,LIFE SCIENCES,2023-09-30,1.048,41.28,30.12,0.168,6.07,2.013,0.0818,4.31,0.0119,20.55
CCI,REAL ESTATE & CONSTRUCTION,2023-09-30,0.673,26.72,35.97,0.216,7.88,3.352,0.22,3.58,0.0655,22.23
GM,MANUFACTURING,2023-09-30,1.49,3.771,6.29,0.133,0.835,1.073,0.0583,7.12,0.0134,5.78
KMB,MANUFACTURING,2023-09-30,0.396,23.24,22.17,2.483,107.43,4.012,0.0863,5.2,0.0391,17.26
MET,FINANCE,2023-09-30,1.062,-,8.83,-0.0068,2.279,5.19,-0.003,-0.4,0.0344,-
ODFL,ENERGY & TRANSPORTATION,2023-09-30,1.077,34.9,24.45,0.326,9.07,1.894,0.212,11.25,0.0042,15.59
EXC,ENERGY & TRANSPORTATION,2023-09-30,0.638,18.34,18.08,0.0856,1.731,2.509,0.102,2.15,0.0365,7.53
MSCI,TRADE & SERVICES,2023-09-30,1.106,42.93,38.91,0,-,3.197,0.398,11.98,0.0107,32.77
CRWD,TECHNOLOGY,2023-07-31,0.927,-,54.64,-0.0608,20.52,1.339,-0.0354,-0.39,0,-766.86
CPRT,TRADE & SERVICES,2023-07-31,1.188,38.07,25.51,0.233,6.13,1.14,0.32,1.28,0.0132,19.08
ADM,MANUFACTURING,2023-09-30,0.836,10.08,14.45,0.158,2.124,16.43,0.0406,7.19,0.0248,9.31
KKR,FINANCE,2023-09-30,1.501,23.19,11.67,0.056,2.602,2.812,0.164,2.74,0.0104,58.24
HLT,REAL ESTATE & CONSTRUCTION,2023-09-30,1.204,32.69,22.83,0,-,0.619,0.305,4.95,0.0037,21.18
CNC,FINANCE,2023-09-30,0.49,15.94,13.07,0.0957,1.852,0.98,0.0175,4.51,0.0159,10.65
VMW,TECHNOLOGY,2023-07-31,0.825,45.08,16.05,1.061,65.74,1.943,0.105,3.32,0.0536,18.47
ON,MANUFACTURING,2023-09-30,1.836,13.58,14.18,0.338,4.913,0.901,0.267,4.96,0.0328,10.48
AEP,ENERGY & TRANSPORTATION,2023-09-30,0.496,17.82,18.62,0.0906,2.085,3.045,0.117,4.36,0.0453,12.14
FTNT,TECHNOLOGY,2023-09-30,1.138,35.29,39.37,0.79,231.83,1.986,0.223,1.44,0.0178,45.53
PAYX,TRADE & SERVICES,2023-08-31,0.967,26.17,29.76,0.475,14.09,3.41,0.314,4.41,0.0308,20.89
HAL,ENERGY & TRANSPORTATION,2023-09-30,2.14,13.16,12.95,0.316,4.355,0.927,0.115,2.91,0.0167,13.1
TRV,FINANCE,2023-09-30,0.594,18.35,12.55,0.11,2.186,1.53,0.0545,9.26,0.0235,-
BIIB,LIFE SCIENCES,2023-09-30,0.096,22.32,18.45,0.107,3.258,36.19,0.146,10.07,0.0371,10.36
ROST,TRADE & SERVICES,2023-07-31,1.003,26.18,23.04,0.374,9.75,2.596,0.0836,4.71,0.0109,18.0
TFC,FINANCE,2023-09-30,1.092,7.38,7.89,0.0932,1.035,0.877,0.259,3.98,0.0708,-
STZ,MANUFACTURING,2023-08-31,1.048,28.09,18.76,0.159,4.706,2.355,0.155,8.52,0.0149,41.97
CEG,ENERGY & TRANSPORTATION,2023-09-30,None,23.37,20.92,0.142,2.75,0.861,0.064,5.21,0.0093,16.1
NUE,MANUFACTURING,2023-09-30,1.656,7.72,10.1,0.266,2.143,0.75,0.14,19.76,0.0134,3.187
GIS,MANUFACTURING,2023-08-31,0.254,15.92,20.92,0.231,4.818,3.106,0.121,4.1,0.0362,15.6
IQV,TRADE & SERVICES,2023-09-30,1.418,32.18,18.59,0.2,7.24,1.475,0.0751,6.09,0,17.39
DLR,REAL ESTATE & CONSTRUCTION,2023-09-30,0.545,44.7,62.11,0.0477,1.842,1.95,0.174,2.88,0.0379,14.33
COF,FINANCE,2023-09-30,1.472,7.82,5.55,0.104,0.725,0.616,0.205,13.37,0.023,-
EA,TECHNOLOGY,2023-09-30,0.797,36.68,15.65,0.129,4.413,0.865,0.131,3.62,0.0057,18.2
MNST,MANUFACTURING,2023-09-30,0.83,37.35,32.79,0.213,7.66,3.395,0.226,1.48,0.0025,29.84
JCI,TRADE & SERVICES,2023-06-30,1.283,17.2,18.87,0.131,2.809,1.235,0.0775,2.98,0.0289,19.03
BKR,TECHNOLOGY,2023-09-30,1.446,20.56,16.29,0.115,1.919,1.317,0.0686,1.67,0.0233,17.93
CTVA,LIFE SCIENCES,2023-09-30,0.798,27.74,20.41,0.0447,1.812,1.315,0.0538,1.57,0.0147,14.41
TTD,TECHNOLOGY,2023-09-30,1.68,206.48,43.86,0.0751,13.03,1.83,0.0835,0.31,0,629.04
IDXX,LIFE SCIENCES,2023-09-30,1.207,43.66,50.25,0.928,74.82,7.21,0.229,9.82,0.0073,37.65
VRSK,TECHNOLOGY,2023-09-30,0.853,44.64,32.68,0.668,14.39,3.04,0.19,5.33,0.0057,18.2
