,Company,Ticker,GICS Sector,GICS Sub-Industry
363,First Hawaiian Bank,FHB,Financials,Regional Banks
364,First Horizon,FHN,Financials,Regional Banks
365,First Industrial Realty Trust,FR,Real Estate,
366,First Solar,FSLR,Information Technology,Semiconductors
367,FirstEnergy,FE,Utilities,Electric Utilities
368,FIS,FIS,Financials,Transaction & Payment Processing Services
369,Fiserv,FI,Financials,Transaction & Payment Processing Services
370,Five Below,FIVE,Consumer Discretionary,Other Specialty Retail
371,Five9,FIVN,Information Technology,
372,Fleetcor,FLT,Financials,Transaction & Payment Processing Services
373,Floor & Decor,FND,Consumer Discretionary,
374,Flowers Foods,FLO,Consumer Staples,Packaged Foods & Meats
375,Flowserve,FLS,Industrials,Industrial Machinery & Supplies & Components
376,FMC,FMC,Materials,Fertilizers & Agricultural Chemicals
377,FNB Corporation,FNB,Financials,Regional Banks
378,Ford,F,Consumer Discretionary,Automobile Manufacturers
379,Fortinet,FTNT,Information Technology,Systems Software
380,Fortive,FTV,Industrials,Industrial Machinery & Supplies & Components
381,Fortrea,FTRE,Health Care,
382,Fortune Brands Innovations,FBIN,Industrials,Building Products
383,Fox Corporation (Class A),FOXA,Communication Services,Movies & Entertainment
384,Fox Corporation (Class B),FOX,Communication Services,Movies & Entertainment
385,Franklin Templeton,BEN,Financials,Asset Management & Custody Banks
386,Freeport-McMoRan,FCX,Materials,Copper
387,Freshpet,FRPT,Consumer Staples,
388,Frontier Communications,FYBR,Communication Services,
389,Frost,CFR,Financials,Regional Banks
390,FTI Consulting,FCN,Industrials,Research & Consulting Services
391,GameStop,GME,Consumer Discretionary,Computer & Electronics Retail
392,Gaming and Leisure Properties,GLPI,Real Estate,
393,Gap,GPS,Consumer Discretionary,Apparel Retail
394,Garmin,GRMN,Consumer Discretionary,Consumer Electronics
395,Gartner,IT,Information Technology,IT Consulting & Other Services
396,Gates,GTES,Industrials,
397,GE,GE,Industrials,Industrial Conglomerates
398,GE HealthCare,GEHC,Health Care,
399,Gen Digital,GEN,Information Technology,Application Software
400,Generac,GNRC,Industrials,Electrical Components & Equipment
401,General Dynamics,GD,Industrials,Aerospace & Defense
402,General Mills,GIS,Consumer Staples,Packaged Foods & Meats
403,General Motors,GM,Consumer Discretionary,Automobile Manufacturers
404,Genpact,G,Information Technology,IT Consulting & Other Services
405,Gentex,GNTX,Consumer Discretionary,Automotive Parts & Equipment
406,Genuine Parts,GPC,Consumer Discretionary,Automotive Parts & Equipment
407,Gilead,GILD,Health Care,Biotechnology
408,Ginkgo Bioworks,DNA,Materials,
409,GitLab,GTLB,Information Technology,
410,Global Payments,GPN,Financials,Transaction & Payment Processing Services
411,GlobalFoundries,GFS,Information Technology,
412,Globant,GLOB,Information Technology,
413,Globe Life,GL,Financials,Life & Health Insurance
414,Globus Medical,GMED,Health Care,Health Care Equipment
415,GoDaddy,GDDY,Information Technology,
416,Goldman Sachs,GS,Financials,Investment Banking & Brokerage
417,Graco,GGG,Industrials,Industrial Machinery & Supplies & Components
418,Grainger,GWW,Industrials,Industrial Machinery & Supplies & Components
419,Grand Canyon Education,LOPE,Consumer Discretionary,Education Services
420,Graphic Packaging,GPK,Materials,
421,Grocery Outlet,GO,Consumer Staples,Food Retail
422,Guidewire,GWRE,Information Technology,
423,GXO Logistics,GXO,Industrials,Air Freight & Logistics
424,Halliburton,HAL,Energy,Oil & Gas Equipment & Services
425,Hanover Insurance,THG,Financials,Property & Casualty Insurance
426,Harley-Davidson,HOG,Consumer Discretionary,Motorcycle Manufacturers
427,Hartford (The),HIG,Financials,Property & Casualty Insurance
428,Hasbro,HAS,Consumer Discretionary,Leisure Products
429,HashiCorp,HCP,Information Technology,
430,Hawaiian Electric Industries,HE,Utilities,Electric Utilities
431,Hayward,HAYW,Industrials,
432,HCA Healthcare,HCA,Health Care,Health Care Facilities
433,Healthcare Realty Trust,HR,Real Estate,
434,Healthpeak,PEAK,Real Estate,Health Care REITs
435,HEICO (Class A),HEI.A,Industrials,
436,HEICO (Common),HEI,Industrials,
437,Jack Henry & Associates,JKHY,Financials,Transaction & Payment Processing Services
438,Hershey's,HSY,Consumer Staples,Packaged Foods & Meats
439,Hertz,HTZ,Industrials,
440,Hess,HES,Energy,Integrated Oil & Gas
441,Hewlett Packard Enterprise,HPE,Information Technology,"Technology Hardware, Storage & Peripherals"
442,Hexcel,HXL,Industrials,Aerospace & Defense
443,HF Sinclair,DINO,Energy,Oil & Gas Refining & Marketing
444,Highwoods Properties,HIW,Real Estate,
445,Hilton,HLT,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
446,Hologic,HOLX,Health Care,Health Care Equipment
447,Home Depot,HD,Consumer Discretionary,Home Improvement Retail
448,Honeywell,HON,Industrials,Industrial Conglomerates
449,Hormel Foods,HRL,Consumer Staples,Packaged Foods & Meats
450,Host Hotels & Resorts,HST,Real Estate,Hotel & Resort REITs
451,Houlihan Lokey,HLI,Financials,
452,Howard Hughes Corporation,HHH,Real Estate,
453,Howmet Aerospace,HWM,Industrials,Aerospace & Defense
454,HP Inc.,HPQ,Information Technology,"Technology Hardware, Storage & Peripherals"
455,Hubbell,HUBB,Industrials,Industrial Machinery & Supplies & Components
456,HubSpot,HUBS,Information Technology,
457,Humana,HUM,Health Care,Managed Health Care
458,Huntington,HBAN,Financials,Regional Banks
459,Huntington Ingalls Industries,HII,Industrials,Aerospace & Defense
460,Huntsman,HUN,Materials,
461,Hyatt Hotels,H,Consumer Discretionary,
462,IAC,IAC,Communication Services,
463,IBM,IBM,Information Technology,IT Consulting & Other Services
464,ICON PLC,ICLR,Health Care,
465,ICU Medical,ICUI,Health Care,Health Care Supplies
466,Idacorp,IDA,Utilities,Electric Utilities
467,IDEX,IEX,Industrials,Industrial Machinery & Supplies & Components
468,Idexx Laboratories,IDXX,Health Care,Health Care Equipment
469,Illinois Tool Works,ITW,Industrials,Industrial Machinery & Supplies & Components
470,Illumina,ILMN,Health Care,Life Sciences Tools & Services
471,Incyte,INCY,Health Care,Biotechnology
472,Informatica,INFA,Information Technology,
473,Ingersoll Rand,IR,Industrials,Industrial Machinery & Supplies & Components
474,Ingredion,INGR,Consumer Staples,Agricultural Products & Services
475,Inspire Medical Systems,INSP,Health Care,
476,Insulet,PODD,Health Care,
477,Integra Lifesciences,IART,Health Care,
478,Intel,INTC,Information Technology,Semiconductors
479,Interactive Brokers,IBKR,Financials,Investment Banking & Brokerage
480,Intercontinental Exchange,ICE,Financials,Financial Exchanges & Data
481,International Flavors & Fragrances,IFF,Materials,Specialty Chemicals
482,International Paper,IP,Materials,Paper & Plastic Packaging Products & Materials
483,Intuit,INTU,Information Technology,Application Software
484,Intuitive Surgical,ISRG,Health Care,Health Care Equipment
485,Invesco,IVZ,Financials,Asset Management & Custody Banks
486,Invitation Homes,INVH,Real Estate,
487,Ionis,IONS,Health Care,
488,IPG,IPG,Communication Services,Advertising
489,IPG Photonics,IPGP,Information Technology,Electronic Manufacturing Services
490,IQVIA,IQV,Health Care,Life Sciences Tools & Services
491,Iridium Communications,IRDM,Communication Services,
492,Iron Mountain,IRM,Real Estate,Other Specialized REITs
493,ITT Inc.,ITT,Industrials,Industrial Machinery & Supplies & Components
494,Jabil,JBL,Information Technology,Electronic Manufacturing Services
495,Jacobs,J,Industrials,Construction & Engineering
496,Janus Henderson,JHG,Financials,Asset Management & Custody Banks
497,Jazz Pharmaceuticals,JAZZ,Health Care,Pharmaceuticals
498,J. B. Hunt,JBHT,Industrials,Cargo Ground Transportation
499,Jefferies,JEF,Financials,Multi-Sector Holdings
500,Johnson & Johnson,JNJ,Health Care,Pharmaceuticals
501,Johnson Controls,JCI,Industrials,Building Products
502,JLL,JLL,Real Estate,Real Estate Services
503,JPMorgan Chase,JPM,Financials,Diversified Banks
504,Juniper Networks,JNPR,Information Technology,Communications Equipment
505,Karuna Therapeutics,KRTX,Health Care,
506,"KBR, Inc.",KBR,Industrials,Diversified Support Services
507,Kellanova,K,Consumer Staples,Packaged Foods & Meats
508,Kemper,KMPR,Financials,Multi-line Insurance
509,Kenvue,KVUE,Consumer Staples,Personal Care Products
510,Keurig Dr Pepper,KDP,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
511,Keycorp,KEY,Financials,Regional Banks
512,Keysight,KEYS,Information Technology,Electronic Equipment & Instruments
513,Kilroy Realty,KRC,Real Estate,
514,Kimberly-Clark,KMB,Consumer Staples,Household Products
515,Kimco Realty,KIM,Real Estate,Retail REITs
